word,age_of_acquisition,frequency_per_million
intercourse,11.72,3.78431
conservative,13.95,3.76471
forensics,14.11,3.76471
sully,12.73,3.76471
resignation,11.61,3.7451
pub,12.05,3.72549
rogue,11.48,3.72549
extensive,11.83,3.70588
homo,11.78,3.70588
morality,11.39,3.70588
notorious,11.53,3.70588
stalker,11.16,3.70588
manifest,12.16,3.68627
op,12.43,3.68627
consultant,12.26,3.66667
cynical,13.44,3.66667
discretion,12.67,3.66667
pi,11.94,3.66667
plaintiff,12.33,3.66667
consolation,12.05,3.64706
intervention,13.11,3.64706
loft,11.05,3.64706
unemployed,11.33,3.64706
abduction,11.94,3.62745
authorization,11.11,3.60784
commodore,11.56,3.60784
consul,13.16,3.60784
milord,14.14,3.60784
reform,12.74,3.60784
vitals,11.72,3.60784
psychologist,11.77,3.58824
convoy,12.28,3.54902
ensign,13.575,3.54902
indication,12,3.54902
veal,11.17,3.54902
aft,13.8841,3.52941
declaration,11.4,3.52941
hash,12.74,3.52941
perception,11.53,3.52941
celeste,13.9587,3.5098
eccentric,12.6,3.5098
gamma,14.06,3.5098
ledge,11.05,3.5098
mystique,11.89,3.5098
inquiry,11.37,3.4902
mace,12.4667,3.4902
mentor,11.37,3.4902
mitzvah,11.94,3.4902
analyst,11.75,3.47059
commerce,13.44,3.47059
laptop,12.44,3.47059
manipulate,11.1,3.47059
premature,11.53,3.47059
karma,13.67,3.45098
obscene,11.83,3.45098
seduce,11.95,3.45098
beta,13.94,3.43137
breakthrough,11.53,3.43137
keg,13.41,3.43137
mourning,11.05,3.43137
saline,11.71,3.43137
triad,12.19,3.43137
epidemic,11.05,3.41176
pending,11.85,3.41176
precaution,11.05,3.41176
thesis,12.83,3.41176
collateral,13.63,3.39216
incapable,11.5,3.39216
optimistic,11.42,3.39216
employ,11.41,3.35294
fraternity,12.95,3.35294
homey,11.65,3.35294
shithead,11.84,3.35294
karaoke,11.85,3.33333
id,12.41,3.31373
prototype,12.65,3.31373
adrenaline,11.63,3.29412
continental,11.06,3.29412
courier,13.59,3.29412
demo,11.21,3.29412
download,13.56,3.29412
sync,13.22,3.29412
intimacy,12.58,3.27451
probable,11.61,3.27451
scarlet,11.3584,3.27451
statistics,11.5523,3.27451
verge,11.41,3.27451
vulgar,11.57,3.27451
credentials,13.3554,3.2549
hypocrite,11.65,3.2549
analyze,11.39,3.23529
rouge,12.33,3.23529
anatomy,11.94,3.19608
brigade,11.58,3.19608
credibility,12.37,3.19608
myrtle,11.0124,3.19608
radioactive,12.11,3.19608
abbey,13.06,3.17647
ecstasy,13.47,3.17647
inheritance,12.05,3.17647
rapist,12.05,3.17647
sentiment,11.89,3.17647
transit,11.2,3.17647
quid,11.27,3.15686
dispute,12.05,3.13725
frat,14.8,3.13725
bosom,12.5,3.11765
debris,11.22,3.11765
propaganda,12.1,3.11765
viva,11.56,3.11765
wage,11.06,3.11765
assessment,11.95,3.09804
closure,12.11,3.09804
diversion,12.58,3.09804
liability,12.9,3.09804
patron,12.56,3.09804
reaper,11.37,3.09804
sexuality,11.83,3.09804
cellphone,14.6696,3.07843
hardcore,12.85,3.05882
bonding,11.44,3.03922
brig,12.82,3.03922
crude,11.11,3.03922
infrared,13.11,3.03922
opposition,11.58,3.03922
philosopher,11.63,3.03922
preposterous,11.78,3.03922
stein,14.321,3.03922
desperation,11.28,3.01961
mainland,11.63,3.01961
remorse,11.11,3.01961
temp,11.06,3.01961
arson,11.2,3
deposition,13.59,3
internship,12.94,2.98039
kinky,12.8,2.98039
maestro,11.58,2.98039
scoundrel,12.82,2.98039
elite,12.39,2.96078
hustler,12.74,2.96078
marrow,12.16,2.96078
tai,13.78,2.96078
acute,11.6,2.94118
biff,11.7357,2.94118
extract,11.05,2.94118
infirmary,12.83,2.94118
junction,11.68,2.94118
precision,11.17,2.94118
resolution,11.21,2.94118
scanner,11.37,2.94118
transaction,11.2,2.94118
clinical,11.84,2.92157
irrational,11.28,2.92157
latrine,12.27,2.92157
recon,13.89,2.92157
vintage,12,2.92157
yahoo,12.11,2.92157
covert,12.65,2.90196
suicidal,11.17,2.90196
superficial,12.83,2.90196
turbo,12.16,2.90196
accessory,11.15,2.88235
imbecile,11.17,2.88235
indulge,11.44,2.88235
jeopardize,11.5,2.88235
cappuccino,12.42,2.86275
deacon,11.28,2.86275
geisha,14.24,2.86275
manhood,12.95,2.86275
cellular,11.53,2.84314
deliberate,11.4,2.84314
impose,12.26,2.84314
twain,11.82,2.84314
arrogance,11.72,2.82353
constable,11.06,2.82353
infantry,12.26,2.82353
lingerie,13.44,2.82353
marquis,12.8,2.82353
penitentiary,11.22,2.82353
slayer,11.5,2.82353
slipstream,12.64,2.82353
bankrupt,11.33,2.80392
bollocks,14.94,2.80392
clause,12.16,2.80392
quadrant,12.76,2.80392
stat,12.58,2.80392
bong,14.16,2.78431
delusional,12.41,2.78431
psychopath,13.22,2.78431
velocity,12.62,2.78431
vineyard,11.05,2.78431
vista,12.7035,2.78431
threshold,11.9,2.76471
manslaughter,12.28,2.7451
orb,11.17,2.7451
psyche,12.53,2.7451
steward,12.17,2.7451
terminate,11.21,2.7451
caliber,11.06,2.72549
devastating,11.06,2.72549
eta,14.44,2.72549
hostility,11.47,2.72549
leverage,11.67,2.72549
liaison,14.75,2.72549
proportion,11.79,2.72549
valium,13.67,2.72549
anal,13.17,2.70588
casualty,12.84,2.70588
tendency,12.57,2.70588
antiques,11.05,2.68627
fester,11.0067,2.68627
grail,12.06,2.68627
kosher,13.29,2.68627
manuscript,12.12,2.68627
tofu,11.89,2.68627
convey,12.65,2.66667
curt,13.41,2.66667
legit,11.35,2.66667
module,13.42,2.66667
neurotic,13.84,2.66667
overdose,11.74,2.66667
paranoia,12.79,2.66667
pornography,12.68,2.66667
cognac,14.16,2.64706
deploy,12.44,2.64706
diesel,11.67,2.64706
fore,12.17,2.64706
soprano,11.44,2.64706
wireless,14.05,2.64706
baroness,12.28,2.62745
insignificant,11.59,2.62745
maverick,12.44,2.62745
molecular,11.84,2.62745
paddy,11.6888,2.62745
subconscious,11.71,2.62745
admirable,11.42,2.60784
coup,12.06,2.60784
fusion,13.63,2.60784
immoral,11.11,2.60784
sarcastic,11.05,2.60784
screenplay,12.22,2.60784
alimony,14.47,2.58824
designated,11.44,2.58824
domain,11.72,2.58824
dyke,13.67,2.58824
lug,12.53,2.58824
marguerite,14.11,2.58824
martyr,13,2.58824
obscure,11.87,2.58824
strategic,11.05,2.58824
commandant,11.72,2.56863
cubicle,13.11,2.56863
extortion,13.17,2.56863
milady,13.18,2.56863
spleen,11.35,2.56863
ulcer,12.68,2.56863
bookie,13.65,2.54902
corpsman,12.71,2.54902
examiner,11.95,2.54902
literary,11.1,2.54902
offspring,11.65,2.54902
sedative,11.85,2.54902
steroids,13.1823,2.54902
aerial,11.5,2.52941
chateau,13.22,2.52941
freeman,11.38,2.52941
mambo,11.21,2.52941
mu,15.83,2.52941
rave,12.33,2.52941
foreplay,14.4,2.5098
immigration,12.63,2.5098
reluctant,11.11,2.5098
shaman,12.25,2.5098
sovereign,13,2.5098
buff,11.74,2.4902
gurney,11.47,2.4902
imperative,13.24,2.4902
intensity,11.26,2.4902
poll,11.58,2.4902
premier,11.32,2.4902
sordid,13.62,2.4902
toddy,15.33,2.4902
tor,16.5,2.4902
apocalypse,12.78,2.47059
catastrophe,11.15,2.47059
economics,12.3,2.47059
extraction,11.61,2.47059
imperial,14.28,2.47059
indictment,15.2,2.47059
legion,11.15,2.47059
patent,12.41,2.47059
regulation,11.06,2.47059
roulette,12.82,2.47059
suture,14.61,2.47059
valiant,11.17,2.47059
vouch,11.44,2.47059
aurora,12.7012,2.45098
exploit,12.26,2.45098
fascist,14.68,2.45098
hypothetical,13.24,2.45098
maternity,11.83,2.45098
profitable,11.22,2.45098
refuge,11.05,2.45098
ultrasound,12.15,2.45098
boomer,12.12,2.43137
compensate,11.6,2.43137
competent,11.75,2.43137
curry,13.28,2.43137
homeboy,12.94,2.43137
orientation,11.78,2.43137
quagmire,14.038,2.43137
hoax,11.47,2.41176
imminent,13.37,2.41176
lair,11.63,2.41176
latte,13.47,2.41176
platinum,12.28,2.41176
nomination,11.72,2.39216
pompous,12.71,2.39216
prostitution,12.84,2.39216
revenue,11.74,2.39216
bankruptcy,11.11,2.37255
condemn,12.5,2.37255
franchise,12.58,2.37255
incision,11.72,2.37255
loo,12.6933,2.37255
muslim,12.9072,2.37255
retain,11.32,2.37255
viable,14.11,2.37255
ballistics,13,2.35294
douche,13.39,2.35294
frigging,13.08,2.35294
meth,17.06,2.35294
stimulating,12.05,2.35294
boner,11.89,2.33333
vogue,11.6,2.33333
amulet,11.53,2.31373
liberation,13.45,2.31373
regime,13,2.31373
siege,12.28,2.31373
soy,13.56,2.31373
speculation,12.57,2.31373
fetish,13.44,2.29412
hallowed,11.22,2.29412
mortar,11.9,2.29412
negotiation,11.74,2.29412
schizophrenic,12.33,2.29412
suburban,11.56,2.29412
chaplain,12.19,2.27451
gangway,13.73,2.27451
hysteria,12.06,2.27451
cabaret,12.63,2.2549
militia,12,2.2549
mormon,11.9293,2.2549
perjury,12.78,2.2549
sensor,11.8,2.2549
trump,11.23,2.2549
clarify,11.24,2.23529
cod,11.5,2.23529
flora,11.9445,2.23529
opium,12.41,2.23529
oracle,11.82,2.23529
parliament,12,2.23529
utility,11.39,2.23529
advocate,11.11,2.21569
diabetic,11.17,2.21569
larceny,13.24,2.21569
oblige,11.82,2.21569
shrapnel,12.06,2.21569
subpoena,14.27,2.21569
brutality,12,2.19608
dire,11.63,2.19608
intensive,12.95,2.19608
puberty,11.21,2.19608
renaissance,11.72,2.19608
solemn,12.5,2.19608
thermal,11.05,2.19608
abstract,11.47,2.17647
ante,11.6994,2.17647
carmine,15.62,2.17647
customary,11.16,2.17647
editorial,13.7,2.17647
erection,13.11,2.17647
lawful,11.05,2.17647
melancholy,12.53,2.17647
monsignor,13.92,2.17647
persuasive,11.72,2.17647
quaint,12.58,2.17647
sleazy,11.85,2.17647
sterile,11.39,2.17647
treacherous,12.26,2.17647
underage,11.05,2.17647
anguish,11.54,2.15686
bailiff,11.94,2.15686
civic,11.8,2.15686
coney,12.3,2.15686
correspondent,13.32,2.15686
disposition,12.24,2.15686
formality,12.59,2.15686
hock,11.87,2.15686
minimal,11.33,2.15686
oppose,11.05,2.15686
spectrum,12.2,2.15686
vending,11.26,2.15686
vie,12.75,2.15686
auxiliary,14,2.13725
compensation,11.8,2.13725
controversial,12.16,2.13725
crossroads,11.1041,2.13725
diplomat,11.05,2.13725
implant,13,2.13725
ozone,12.79,2.13725
slutty,12.4,2.13725
boon,12.94,2.11765
enlighten,12.17,2.11765
ether,13.44,2.11765
freelance,13.84,2.11765
hacker,13.39,2.11765
retainer,11.5,2.11765
threesome,12.58,2.11765
bimbo,12.22,2.09804
communism,11.74,2.09804
containment,11.28,2.09804
coronation,12.71,2.09804
dynamic,12,2.09804
garret,11.9552,2.09804
insulin,11.32,2.09804
psychiatry,11.61,2.09804
snowboarding,11.1754,2.09804
thong,12.41,2.09804
trifle,12.17,2.09804
caterer,12.19,2.07843
conception,11.28,2.07843
consumer,11.21,2.07843
email,11.52,2.07843
impotent,14.84,2.07843
loathe,11.12,2.07843
specs,12.94,2.07843
congressional,12.53,2.05882
consume,11.47,2.05882
diaphragm,12.58,2.05882
espresso,13.26,2.05882
hoist,11.32,2.05882
assurance,12.33,2.03922
forum,12.52,2.03922
hybrid,14.3,2.03922
lotus,13.59,2.03922
paging,11.45,2.03922
pharmaceutical,13.39,2.03922
portfolio,13.84,2.03922
starling,13,2.03922
surplus,11.33,2.03922
vivid,11.83,2.03922
anarchy,13.94,2.01961
cerebral,12.47,2.01961
divert,11.33,2.01961
glitch,11.86,2.01961
guild,12.94,2.01961
homicidal,12.61,2.01961
mainframe,13.06,2.01961
radiology,12.61,2.01961
render,12.44,2.01961
tribune,12.39,2.01961
arsenal,11.79,2
calamity,11.05,2
immortality,12.56,2
snuff,11.79,2
solitude,12,2
syndicate,15.42,2
anesthesia,12.53,1.98039
aneurysm,15.05,1.98039
coronary,12.53,1.98039
fidelity,12.82,1.98039
gall,12.44,1.98039
midterm,13.16,1.98039
moor,11.8,1.98039
perceptive,11.84,1.98039
segment,11.11,1.98039
span,12.06,1.98039
transformation,11.21,1.98039
affidavit,15.69,1.96078
bloodshed,11.44,1.96078
incentive,12.55,1.96078
neural,12.19,1.96078
plutonium,13.68,1.96078
ridicule,11.85,1.96078
signora,15.75,1.96078
stakeout,11.17,1.96078
vanquished,12.59,1.96078
adultery,11.84,1.94118
appalling,12.21,1.94118
arthritis,11.67,1.94118
contemporary,12.28,1.94118
cuisine,11.67,1.94118
definitive,12.6118,1.94118
residency,11.32,1.94118
turbulence,11.47,1.94118
complexion,11.42,1.92157
compulsive,12.79,1.92157
continuous,11.39,1.92157
decree,11.32,1.92157
interrogate,11.44,1.92157
mercenary,13,1.92157
muse,11.94,1.92157
obsolete,12.28,1.92157
peril,12.47,1.92157
syphilis,14.67,1.92157
tyrant,11.25,1.92157
understudy,12.12,1.92157
wormhole,12.35,1.92157
confide,11.22,1.90196
fertility,14.45,1.90196
hep,12.62,1.90196
pretentious,12.95,1.90196
publicist,13.61,1.90196
casing,11.53,1.88235
electromagnetic,13.4,1.88235
eminence,14.59,1.88235
fragment,11.53,1.88235
intubate,16.2485,1.88235
kip,12.3,1.88235
sorority,14.22,1.88235
traction,11.05,1.88235
treachery,12.4,1.88235
underlay,12.35,1.88235
watt,12.3388,1.88235
withholding,12.8,1.88235
amour,12.67,1.86275
checkpoint,13,1.86275
cholesterol,13.15,1.86275
confidentiality,12.57,1.86275
exorcism,12.06,1.86275
fret,11.11,1.86275
humanitarian,12.56,1.86275
inadequate,11.95,1.86275
mach,13.08,1.86275
progressive,11.11,1.86275
quantity,11.11,1.86275
quota,12.64,1.86275
surrogate,14.88,1.86275
theoretical,13.44,1.86275
adolescent,11.05,1.84314
comprehend,11.16,1.84314
conceited,12.06,1.84314
consumption,11.95,1.84314
geometry,11.22,1.84314
mockery,12.22,1.84314
mortuary,12.06,1.84314
pun,11.21,1.84314
repressed,12.78,1.84314
trajectory,11.94,1.84314
amp,12.11,1.82353
ample,11.63,1.82353
aura,11.67,1.82353
bijou,14.36,1.82353
degenerate,13.45,1.82353
detain,12.28,1.82353
detonation,12.74,1.82353
ell,12.5,1.82353
fatigue,11.83,1.82353
feminist,12.06,1.82353
gringo,12.73,1.82353
prima,13.27,1.82353
spawn,11.25,1.82353
structural,11.32,1.82353
trivial,11.78,1.82353
clot,11.05,1.80392
coalition,13.94,1.80392
cyanide,14,1.80392
evasive,12.5,1.80392
heed,11.05,1.80392
prone,12.58,1.80392
realtor,11.71,1.80392
tranquilizer,11.58,1.80392
uterus,12.84,1.80392
compassionate,11.74,1.78431
cowardice,11.06,1.78431
demented,11.61,1.78431
disperse,12.11,1.78431
distinguish,11.28,1.78431
gallows,11.24,1.78431
hallucination,14.28,1.78431
hernia,12.29,1.78431
indecent,12.06,1.78431
inhuman,11.37,1.78431
negligence,12.16,1.78431
serenity,11.05,1.78431
algebra,11.47,1.76471
caper,12.41,1.76471
directive,13.88,1.76471
dung,11.05,1.76471
farrow,14,1.76471
gala,14.06,1.76471
genetics,11.84,1.76471
municipal,14.06,1.76471
perverted,12.06,1.76471
prestigious,12.22,1.76471
rue,11.9765,1.76471
tenure,15.79,1.76471
troupe,13.25,1.76471
unethical,14.3,1.76471
whiplash,11.68,1.76471
apt,12.5,1.7451
chemo,14.24,1.7451
farce,12.12,1.7451
jag,12.3175,1.7451
mahjong,15.18,1.7451
sage,11.39,1.7451
sexist,11.32,1.7451
varsity,11.63,1.7451
vole,12,1.7451
armageddon,11.83,1.72549
coy,11.67,1.72549
disclose,11.72,1.72549
endorse,12.06,1.72549
expansion,11.14,1.72549
heterosexual,12.22,1.72549
insomnia,13.05,1.72549
loch,12.83,1.72549
lupus,14.2891,1.72549
reconnaissance,12.78,1.72549
reduction,11.26,1.72549
riddance,12.72,1.72549
senile,11.26,1.72549
virtuous,12.1,1.72549
waive,12.63,1.72549
wop,11.67,1.72549
writ,15.19,1.72549
atropine,15.78,1.70588
bondage,15.06,1.70588
formidable,11.29,1.70588
hemorrhage,12.52,1.70588
inscription,11.53,1.70588
intimidate,11.22,1.70588
lax,11.33,1.70588
masturbation,12.53,1.70588
nitro,13,1.70588
omen,12.05,1.70588
orgy,13.95,1.70588
sadistic,13.3,1.70588
silicon,12.67,1.70588
sorcerer,11.37,1.70588
benefactor,11.25,1.68627
democrat,11.21,1.68627
flan,12.65,1.68627
foremost,11.78,1.68627
frisky,12.17,1.68627
ordinance,13.17,1.68627
perpetrator,12.88,1.68627
renounce,12.72,1.68627
vascular,15.11,1.68627
articulate,13,1.66667
buffer,12.37,1.66667
circumstantial,13.75,1.66667
comp,16.47,1.66667
erratic,12.7,1.66667
impound,12.53,1.66667
infiltrate,12,1.66667
itinerary,11.84,1.66667
malaria,12.33,1.66667
novelty,11.71,1.66667
prostate,15,1.66667
regent,15.9516,1.66667
retribution,13.17,1.66667
ruse,12.17,1.66667
stature,11.12,1.66667
strife,11.78,1.66667
successor,12.24,1.66667
voltage,11.78,1.66667
wholesale,11.7,1.66667
administrator,12.22,1.64706
bungalow,12.58,1.64706
commie,12.69,1.64706
commodity,13.53,1.64706
credible,13.11,1.64706
eminent,12.53,1.64706
eulogy,12.47,1.64706
fanatic,11.71,1.64706
graft,13.8,1.64706
hombre,12.33,1.64706
hypocrisy,14,1.64706
ludicrous,12.84,1.64706
nobility,11.39,1.64706
ore,11.12,1.64706
potassium,11.89,1.64706
proximity,12.26,1.64706
sanctity,13.88,1.64706
suffice,12.26,1.64706
triage,14.38,1.64706
airway,11.16,1.62745
assess,11.37,1.62745
consensus,12.32,1.62745
controversy,11.17,1.62745
encryption,14,1.62745
fiasco,11.68,1.62745
frau,15.58,1.62745
gigolo,13.94,1.62745
lark,11.82,1.62745
manipulative,11.26,1.62745
nix,11.88,1.62745
plausible,12.79,1.62745
testosterone,12.18,1.62745
transvestite,13.94,1.62745
vigilante,12.44,1.62745
administrative,11.5,1.60784
airspace,11.5,1.60784
aphrodisiac,13.32,1.60784
bachelorette,13.26,1.60784
blowjob,11.83,1.60784
brothel,14.94,1.60784
dominant,11.11,1.60784
fetus,12.72,1.60784
futile,13.11,1.60784
galley,12.69,1.60784
gent,11.8,1.60784
heinous,11.24,1.60784
herbal,11.28,1.60784
immense,11.24,1.60784
induce,12.05,1.60784
masquerade,11.83,1.60784
provocative,12.21,1.60784
prudent,12.53,1.60784
purge,11.56,1.60784
reconstruction,11.95,1.60784
rehabilitation,13.53,1.60784
relevance,11.56,1.60784
tyranny,12.12,1.60784
unification,14.33,1.60784
accordance,11.7527,1.58824
adaptation,11.39,1.58824
axis,12.1,1.58824
bouncer,12.67,1.58824
citation,12.95,1.58824
coordinator,11.05,1.58824
granite,12.24,1.58824
highland,11.2,1.58824
impeccable,11.37,1.58824
influential,11.05,1.58824
jackal,12.17,1.58824
philosophical,12.26,1.58824
polygraph,13.33,1.58824
renal,17.13,1.58824
stag,12.35,1.58824
summons,12.2,1.58824
theta,15.27,1.58824
clientele,14.12,1.56863
enlist,11.3,1.56863
gloat,11.16,1.56863
