word,age_of_acquisition,frequency_per_million
don,11.6461,6295.78
fuck,11.22,378.569
client,12.05,53.2353
jury,11.05,42.7647
dean,13.7775,38.7059
insurance,11.4,38.3333
firm,11.17,35.2745
com,15.27,34.3137
sexual,11.33,33.1961
grant,12.0085,32.549
madame,11.06,31.1961
federal,13.5,23
guarantee,11.05,22.0196
route,11.4,21.3529
whore,12.22,21.098
warrant,11.37,20.7843
assure,12.06,20.0196
recall,11.45,19.6667
bout,11.83,19.098
reverend,12.11,18.8824
surveillance,11.33,18.6667
vice,12.5,18.6275
therapy,12,18.5098
defendant,11.42,17.7255
backup,11.11,16.902
campaign,12.55,16.7843
personnel,11.26,16.3725
corporal,11.11,15.7255
satellite,11.68,15.6471
ling,13,15.3922
homicide,12.94,15.3333
financial,11.16,15.2353
fascinating,11.22,15.0784
scotch,11.83,14.7451
status,11.63,14.7059
gene,11.7527,14.5686
sherry,13.58,13.8235
transcript,13.53,13.8235
commission,14.72,13.7843
dame,11.79,13.7647
baron,11.59,13.4706
motive,11.06,13.2353
complex,11.21,13.1176
convention,12.1,12.3333
commissioner,13.37,12.2353
terrorist,12.76,12.098
psychiatrist,12.61,12.0588
basis,11.05,11.9412
mistress,11.72,11.8824
psychic,11.47,11.8627
hooker,11.82,11.7255
existence,11.61,11.6863
porn,11.56,11.6078
cock,11.32,11.3725
slut,12.67,11.3529
gin,12.06,11.2745
bureau,11.95,11.1373
gob,11.838,11.1373
brandy,12.1,11.1176
analysis,11.32,11.0392
verdict,11.05,10.9412
promotion,11.32,10.9216
corps,11.56,10.8824
lance,11.79,10.8627
concept,11.44,10.8431
paranoid,12.3,10.6471
executive,11.65,10.6078
passport,12.16,10.4706
parole,11.47,10.451
conspiracy,11.24,10.3137
reservation,11.17,10.3137
vodka,11.11,10.098
scholarship,11.11,9.94118
bachelor,12,9.88235
oath,11.39,9.88235
investment,11.39,9.7451
autopsy,11.71,9.58824
lesbian,13.05,9.5098
physics,11.68,9.45098
alliance,11.28,9.11765
coroner,11.39,8.98039
ritual,11.74,8.94118
technique,11.9,8.94118
proposal,11.05,8.78431
pimp,12.78,8.62745
vulnerable,12.32,8.56863
hack,11.16,8.54902
transmission,11.9,8.52941
software,12.21,8.43137
horny,12.94,8.39216
alibi,12.5,8.35294
delta,11.11,8.33333
philosophy,13.21,8.27451
cocaine,12.16,8.2549
radiation,11.44,8.21569
cocksucker,12.42,8.13725
presume,12.68,8.13725
alpha,12.22,8.11765
enterprise,12.89,8.09804
martini,11.74,7.94118
method,11.15,7.88235
proposition,11.79,7.88235
welfare,11.11,7.88235
prosecution,11.83,7.86275
flattered,12.44,7.80392
embassy,12,7.78431
corporation,11.55,7.70588
spite,11.6994,7.60784
administration,11.11,7.58824
communist,13.22,7.56863
peculiar,12,7.54902
prostitute,11.78,7.54902
legitimate,11.68,7.52941
protocol,13.83,7.4902
rum,11.56,7.4902
gesture,11.74,7.43137
precinct,11.94,7.33333
distress,11.16,7.27451
abortion,13.21,7.23529
liable,11.11,7.23529
platoon,12.33,7.21569
prosecutor,11.47,7.17647
compound,11.26,7.07843
sector,13,7.05882
objective,12.72,7.03922
sentimental,12.05,7.03922
intimate,13.29,6.96078
semester,12.25,6.94118
subtle,11.63,6.94118
commanding,12.85,6.90196
cunt,13.74,6.86275
faggot,11.42,6.86275
colleague,12.42,6.78431
sophisticated,11.05,6.78431
classified,11.58,6.76471
psychological,11.65,6.72549
confidential,11.78,6.70588
covenant,11.3,6.68627
circuit,11.78,6.66667
commonwealth,11.94,6.66667
memo,11.39,6.60784
notion,11.11,6.58824
internet,12.33,6.54902
starboard,13.72,6.54902
engineering,12.06,6.52941
morphine,13.22,6.4902
rehab,13.58,6.4902
stark,12.0085,6.4902
naive,11.33,6.45098
butch,11.3264,6.43137
tech,12.9,6.39216
depressing,11.74,6.35294
prophecy,12.58,6.29412
lease,11.11,6.27451
syndrome,11.72,6.27451
bourbon,11.05,6.2549
sperm,11.14,6.23529
breach,11.72,6.21569
accountant,11.67,6.17647
countess,11.88,6.15686
ironic,11.78,6.11765
rendezvous,11.79,6.11765
yen,12.68,6.11765
passionate,11.28,6
drake,12.07,5.96078
assassin,11.28,5.92157
wit,11.05,5.92157
fayed,11.4,5.90196
mortgage,12.53,5.90196
probation,11.58,5.86275
tequila,13.67,5.86275
battalion,11.95,5.84314
beau,12.2323,5.84314
documentary,11.56,5.84314
economy,12.56,5.80392
martial,11.11,5.80392
queer,11.1,5.80392
senor,12.41,5.78431
resent,11.22,5.7451
era,11.14,5.70588
medic,11.17,5.70588
database,14.2,5.68627
generator,11.11,5.68627
resume,13.47,5.68627
inevitable,11.6,5.64706
essence,11.9,5.62745
tomb,11.05,5.62745
felony,12.45,5.58824
homecoming,11.57,5.58824
quantum,14.26,5.58824
lust,12.22,5.56863
foreman,11.45,5.54902
grid,11.63,5.52941
tactical,11.75,5.5098
possess,11.95,5.4902
psychology,11.72,5.47059
digital,11.42,5.39216
addict,11.17,5.35294
ambition,11.29,5.35294
ethics,11.06,5.35294
finance,12.52,5.35294
crank,11.25,5.33333
artery,13.06,5.31373
corrupt,11.5,5.31373
jurisdiction,12.75,5.31373
kung,12.1,5.2549
stripper,11.11,5.23529
junkie,12.68,5.19608
condom,12,5.15686
override,12.5,5.15686
valet,13.67,5.15686
virtue,11.53,5.15686
irrelevant,11.06,5.13725
narcotics,12.3877,5.13725
juvenile,11.63,5.11765
premises,12.78,5.07843
treason,11.37,5.07843
lynch,11.5396,5.03922
payroll,12.79,5.03922
resign,11.61,5.03922
contempt,12.44,5.01961
diplomatic,12.21,5.01961
plasma,13.05,4.98039
economic,12,4.96078
efficient,11.53,4.96078
ensure,11.11,4.96078
chronic,11.25,4.94118
indistinct,13.21,4.94118
blunt,11.05,4.90196
consulate,14.33,4.88235
hence,11.092,4.84314
pension,13.28,4.84314
regiment,12.26,4.84314
preliminary,12.28,4.78431
ambitious,11.05,4.76471
marketing,12.25,4.76471
elaborate,11.53,4.7451
psychiatric,12.05,4.7451
specimen,11.72,4.7451
homosexual,12.37,4.72549
invest,12.53,4.72549
venture,11.21,4.72549
spa,11.06,4.68627
activate,11.11,4.66667
bloke,13.88,4.66667
inventory,11.52,4.66667
fritz,11.6355,4.64706
flank,12.15,4.62745
hamlet,11.3477,4.62745
abort,12.21,4.60784
commence,11.37,4.60784
asylum,13.1,4.58824
phenomenon,11.94,4.58824
pike,12.06,4.58824
schmuck,12.64,4.58824
briefing,12.59,4.56863
garrison,14.88,4.56863
irony,11.4,4.56863
intern,14,4.54902
metro,12.3921,4.52941
penthouse,13.11,4.52941
accounting,12.05,4.5098
despise,12.38,4.5098
porno,12.9,4.5098
publisher,11.15,4.5098
quarantine,12.81,4.45098
survey,11.26,4.45098
yoga,13.17,4.45098
trooper,11.32,4.43137
vile,11.74,4.43137
advisor,11.24,4.41176
evaluation,11.37,4.41176
supernatural,11.11,4.41176
squadron,13.53,4.39216
contribution,11.25,4.37255
sniper,11.05,4.35294
sushi,11.19,4.35294
immune,12.32,4.33333
organic,13.68,4.31373
website,12.66,4.31373
diagnosis,12.33,4.29412
corruption,11.17,4.27451
radical,11.9,4.27451
seminar,11.8,4.2549
immunity,12.26,4.23529
playboy,12.21,4.23529
visa,12.17,4.23529
condo,11.68,4.21569
padre,11.39,4.21569
petition,11.06,4.21569
ops,13.85,4.19608
exquisite,12.35,4.17647
informant,12.32,4.17647
orgasm,14.05,4.17647
profound,12.06,4.17647
ignition,12.21,4.15686
devotion,11.78,4.13725
ruthless,12.26,4.13725
sonar,11.42,4.13725
chancellor,11.45,4.11765
vanity,11.39,4.11765
clan,11.05,4.09804
terrorism,12.83,4.09804
virtually,11.7866,4.09804
discreet,11.89,4.05882
exhibition,11.25,4.05882
insecure,12.11,4.05882
gen,13.18,4.03922
republican,11.28,4.03922
transmitter,11.89,4.01961
reactor,12.63,4
signor,13.33,4
alleged,12.05,3.98039
liberal,11.17,3.98039
cardiac,11.74,3.96078
merger,13.1,3.96078
semen,12.37,3.94118
erotic,12.63,3.92157
forensic,13.3,3.92157
addiction,12.11,3.90196
hangover,13.39,3.90196
virginity,11.53,3.90196
khan,14.2,3.88235
metaphor,11.59,3.88235
beacon,11.37,3.86275
federation,12.17,3.86275
summon,11.33,3.86275
beck,11.7527,3.82353
caviar,12.83,3.82353
mercury,12.3164,3.82353
tonic,12.63,3.82353
incompetent,11.42,3.80392
matrix,14.42,3.80392
treasury,11.25,3.80392
asset,11.79,3.78431
